10293|5151|2346
8587|3241|1811
6971|2634|1463
5675|2476|1139
7381|4906|1587
13969|14934|4010
11111|6913|2240
13325|8556|3599
13963|7546|3582
13977|6617|3780
16707|9370|2948
29896|18110|6870
13806|6884|2623
16032|9506|3320
21695|13574|4314
14050|5591|1974
6373|4312|1396
8146|3966|1147
5934|3982|1236
13869|8426|2994
6769|3514|1475
11278|2989|1406
7748|3271|1495
14115|3248|1440
12900|7121|2590
7839|3410|1467
8074|3465|1555
20703|3228|1477
8320|3323|1431
20630|9024|2674
12805|6710|2476
8396|3908|1566
11956|4001|1707
18140|8199|3091
